syndrome_dec,syndrome_hex,syndrome_bin,flip_mask_bin,weight,indices
24354,0x5F22,0101111100100010,000000000000000000000000000000000000000000011100,3,2;3;4
24381,0x5F3D,0101111100111101,000000000000000000000000000000000001000000000000,1,12
24576,0x6000,0110000000000000,011000000000000000000000000000000000000000000000,2,45;46
24648,0x6048,0110000001001000,000000000000000000000000000000000000000000010100,2,2;4
24914,0x6152,0110000101010010,000000000000000000000010000000000000000000000000,1,25
25047,0x61D7,0110000111010111,000000000000000000000000000000000000100000000000,1,11
25161,0x6249,0110001001001001,000000000000000000000011110000000000000000000000,4,22;23;24;25
25167,0x624F,0110001001001111,000000000000000000000000000000010010000000000000,2,13;16
25240,0x6298,0110001010011000,000000000000000000000000000001011000000000000000,3,15;16;18
25325,0x62ED,0110001011101101,000000000000000001011000000000000000000000000000,3,27;28;30
25509,0x63A5,0110001110100101,000000000000000000000000000000011000000000000000,2,15;16
25569,0x63E1,0110001111100001,000000000000000000000000000000000000010010000000,2,7;10
26137,0x6619,0110011000011001,000000000000000000000000000000000000000000111000,3,3;4;5
26624,0x6800,0110100000000000,011010000000000000000000000000000000000000000000,3,43;45;46
26767,0x688F,0110100010001111,000000000000000001010000000000000000000000000000,2,28;30
27440,0x6B30,0110101100110000,000000000000000000001010000000000000000000000000,2,25;27
28289,0x6E81,0110111010000001,000000000000000000000000001101000000000000000000,3,18;20;21
28597,0x6FB5,0110111110110101,000000000000000000000000000000000000000000010010,2,1;4
28604,0x6FBC,0110111110111100,000000000000000000000000001100000000000000000000,2,20;21
28672,0x7000,0111000000000000,011100000000000000000000000000000000000000000000,3,44;45;46
29862,0x74A6,0111010010100110,000000000000000000000000000000010000000000000000,1,16
30028,0x754C,0111010101001100,000000000000000000000000000000011010000000000000,3,13;15;16
30058,0x756A,0111010101101010,000000000000000000000000011010000000000000000000,3,19;21;22
30107,0x759B,0111010110011011,000000000000000000000000000001010000000000000000,2,16;18
30188,0x75EC,0111010111101100,000000000000000000100100000000000000000000000000,2,26;29
30238,0x761E,0111011000011110,000000000000000000001111000000000000000000000000,4,24;25;26;27
30279,0x7647,0111011001000111,000000000000000000000000000000000000000001111000,4,3;4;5;6
30357,0x7695,0111011010010101,000000000000000000000000000101100000000000000000,3,17;18;20
30456,0x76F8,0111011011111000,000000000000000111100000000000000000000000000000,4,29;30;31;32
30457,0x76F9,0111011011111001,000000000000000011100000000000000000000000000000,3,29;30;31
30526,0x773E,0111011100111110,000000000000000000000000000000000010100000000000,2,11;13
30632,0x77A8,0111011110101000,000000000000000000000000000100100000000000000000,2,17;20
30720,0x7800,0111100000000000,011110000000000000000000000000000000000000000000,4,43;44;45;46
30742,0x7816,0111100000010110,000000000000000000000000000000000000011000000000,2,9;10
30886,0x78A6,0111100010100110,000000000000000000000001011000000000000000000000,3,21;22;24
31677,0x7BBD,0111101110111101,000000000000000000000000101000000000000000000000,2,21;23
31868,0x7C7C,0111110001111100,000000000000000000000111000000000000000000000000,3,24;25;26
32654,0x7F8E,0111111110001110,000000000000000000101100000000000000000000000000,3,26;27;29
32768,0x8000,1000000000000000,100000000000000000000000000000000000000000000000,1,47
33337,0x8239,1000001000111001,000000000000000010010000000000000000000000000000,2,28;31
33427,0x8293,1000001010010011,000000000000000000001110000000000000000000000000,3,25;26;27
